metadata:2018-05-12 16:09:57
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-05-12 16:09:57,0,19,20.08,64,136,1005.53,0
1,2018-05-12 16:10:01,0,19,20.10,63,137,1005.56,0
2,2018-05-12 16:10:05,0.0871,19,20.11,63,137,1005.45,0
3,2018-05-12 16:10:11,0.5746,19,20.13,63,139,1005.45,0
4,2018-05-12 16:10:15,0.4768,19,20.12,62,139,1005.51,0
5,2018-05-12 16:10:19,0.3335,19,20.12,62,139,1005.45,0
6,2018-05-12 16:10:24,0.2330,19,20.15,62,139,1005.48,0
7,2018-05-12 16:10:28,0.1513,19,20.17,61,139,1005.46,0
8,2018-05-12 16:10:32,0.1179,19,20.18,61,139,1005.43,0
9,2018-05-12 16:10:38,0.0737,19,20.21,61,139,1005.52,0
10,2018-05-12 16:10:42,0.0563,19,20.22,61,139,1005.44,0
11,2018-05-12 16:10:46,0.0442,19,20.23,61,139,1005.47,0
12,2018-05-12 16:10:51,0.0335,19,20.24,61,138,1005.35,0
13,2018-05-12 16:10:55,0.0308,19,20.27,61,138,1005.50,0
14,2018-05-12 16:10:59,0.0281,19,20.28,61,138,1005.53,0
15,2018-05-12 16:11:04,0.0254,19,20.28,61,137,1005.39,0
16,2018-05-12 16:11:08,0.0254,19,20.29,60,136,1005.44,0
17,2018-05-12 16:11:12,0.0254,19,20.30,60,136,1005.47,0
18,2018-05-12 16:11:18,0.0254,19,20.31,60,135,1005.44,0
19,2018-05-12 16:11:22,0.0254,19,20.31,60,134,1005.45,0
20,2018-05-12 16:11:26,0.0254,19,20.33,60,133,1005.45,0
21,2018-05-12 16:11:31,0.0254,19,20.33,60,132,1005.45,0
22,2018-05-12 16:11:35,0.0254,19,20.34,60,131,1005.45,0
23,2018-05-12 16:11:39,0.0254,19,20.34,60,130,1005.39,0
24,2018-05-12 16:11:45,0.0254,19,20.35,60,130,1005.45,0
25,2018-05-12 16:11:49,0.0254,19,20.35,60,130,1005.39,0
26,2018-05-12 16:11:53,0.0254,19,20.34,60,129,1005.42,0
27,2018-05-12 16:11:58,0.0254,19,20.35,60,129,1005.36,0
28,2018-05-12 16:12:02,0.0254,19,20.36,60,129,1005.39,0
29,2018-05-12 16:12:06,0.0254,19,20.36,60,128,1005.37,0
30,2018-05-12 16:12:11,0.0254,19,20.37,60,128,1005.39,0
31,2018-05-12 16:12:15,0.0254,19,20.38,60,129,1005.37,0
32,2018-05-12 16:12:19,0.0254,19,20.37,60,128,1005.37,0
33,2018-05-12 16:12:25,0.0281,19,20.38,60,129,1005.40,0
34,2018-05-12 16:12:29,0.0295,19,20.38,60,129,1005.42,0
35,2018-05-12 16:12:33,0.0295,19,20.38,60,129,1005.40,0
36,2018-05-12 16:12:38,0.0295,19,20.38,60,129,1005.31,0
37,2018-05-12 16:12:42,0.0295,19,20.38,60,130,1005.37,0
38,2018-05-12 16:12:46,0.0295,19,20.36,60,130,1005.31,0
