metadata:2018-08-21 14:08:16
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-08-21 14:08:16,0, 0,171.90, 0,59,983.49,  0.26,29
1,2018-08-21 14:08:20,0,30,171.91,55,5,983.52,  0.12,29
2,2018-08-21 14:08:24,0,30,171.93,55,27,983.52,  0.13,29
3,2018-08-21 14:08:29,0,30,171.93,53,27,983.44,  0.13,29
4,2018-08-21 14:08:33,0,30,171.94,52,27,983.49,  0.12,29
5,2018-08-21 14:08:37,0,30,171.94,51,27,983.36,  0.12,29
6,2018-08-21 14:08:43,0,30,171.96,50,27,983.50,  0.12,29
7,2018-08-21 14:08:46,0,30,171.95,49,27,983.44,  0.13,29
8,2018-08-21 14:08:50,0,30,171.96,49,27,983.47,  0.13,29
9,2018-08-21 14:08:56,0,30,171.96,48,27,983.47,  0.13,29
10,2018-08-21 14:09:00,0,30,171.96,48,27,983.41,  0.11,29
11,2018-08-21 14:09:04,0,30,171.97,47,27,983.41,  0.13,29
12,2018-08-21 14:09:09,0,30,171.96,47,27,983.50,  0.13,29
13,2018-08-21 14:09:13,0,30,171.96,47,27,983.41,  0.11,29
14,2018-08-21 14:09:17,0,30,171.96,47,27,983.44,  0.13,29
15,2018-08-21 14:09:22,0,30,171.96,47,27,983.47,  0.12,29
16,2018-08-21 14:09:26,0,30,171.96,47,27,983.44,  0.11,29
17,2018-08-21 14:09:30,0,30,171.96,46,27,983.44,  0.13,29
18,2018-08-21 14:09:35,0,30,171.96,46,27,983.47,  0.13,29
19,2018-08-21 14:09:39,0,30,171.96,46,27,983.44,  0.11,29
20,2018-08-21 14:09:43,0,30,171.95,46,27,983.47,  0.13,29
21,2018-08-21 14:09:48,0,30,171.95,46,27,983.44,  0.12,29
22,2018-08-21 14:09:52,0,30,171.95,46,27,983.44,  0.13,29
23,2018-08-21 14:09:56,0,30,171.95,46,27,983.47,  0.12,29
