metadata:2018-08-22 12:32:55
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-08-22 12:32:56,0,30,29.53,49,140,1003.50,  0.30,29
1,2018-08-22 12:33:00,0,30,29.52,50,90,1003.53,  0.17,29
2,2018-08-22 12:33:04,0,30,29.52,49,90,1003.46,  0.15,29
3,2018-08-22 12:33:09,0,30,29.52,49,90,1003.50,  0.14,29
4,2018-08-22 12:33:13,0,30,29.52,49,90,1003.50,  0.14,29
5,2018-08-22 12:33:17,0,30,29.51,48,90,1003.44,  0.14,29
6,2018-08-22 12:33:22,0,30,29.51,48,406,1003.50,  0.15,29
7,2018-08-22 12:33:26,0,30,29.51,48,145,1003.46,  0.13,29
8,2018-08-22 12:33:30,0,30,29.51,48,143,1003.44,  0.14,29
9,2018-08-22 12:33:35,0,30,29.50,48,146,1003.52,  0.14,29
10,2018-08-22 12:33:39,0,30,29.51,48,146,1003.46,  0.14,29
11,2018-08-22 12:33:43,0,30,29.51,48,146,1003.41,  0.14,29
12,2018-08-22 12:33:48,0,30,29.50,47,146,1003.41,  0.14,29
13,2018-08-22 12:33:52,0,30,29.51,47,145,1003.46,  0.15,29
14,2018-08-22 12:33:56,0,30,29.50,47,145,1003.44,  0.14,29
15,2018-08-22 12:34:01,0,30,29.50,48,145,1003.37,  0.13,29
16,2018-08-22 12:34:05,0,30,29.50,48,145,1003.44,  0.13,29
17,2018-08-22 12:34:09,0,30,29.50,48,145,1003.44,  0.14,29
18,2018-08-22 12:34:14,0,30,29.50,47,143,1003.41,  0.13,29
19,2018-08-22 12:34:18,0,30,29.51,47,145,1003.46,  0.13,29
20,2018-08-22 12:34:22,0,30,29.51,47,145,1003.50,  0.13,29
21,2018-08-22 12:34:28,0,30,29.51,47,145,1003.46,  0.13,29
22,2018-08-22 12:34:31,0,30,29.51,47,146,1003.46,  0.13,29
23,2018-08-22 12:34:35,0,30,29.51,47,147,1003.50,  0.13,29
24,2018-08-22 12:34:41,0,30,29.51,47,147,1003.44,  0.13,29
25,2018-08-22 12:34:45,0,30,29.52,47,148,1003.44,  0.13,29
26,2018-08-22 12:34:48,0,30,29.51,47,146,1003.44,  0.13,29
27,2018-08-22 12:34:54,0,30,29.52,46,148,1003.46,  0.13,29
28,2018-08-22 12:34:58,0,30,29.52,46,148,1003.44,  0.13,29
29,2018-08-22 12:35:02,0,30,29.52,46,148,1003.41,  0.13,29
30,2018-08-22 12:35:07,0,30,29.52,46,148,1003.37,  0.13,29
31,2018-08-22 12:35:11,0,30,29.54,46,146,1003.44,  0.13,29
32,2018-08-22 12:35:15,0,30,29.53,46,146,1003.41,  0.13,29
33,2018-08-22 12:35:20,0,30,29.54,46,146,1003.44,  0.13,29
34,2018-08-22 12:35:24,0,30,29.53,46,146,1003.44,  0.13,29
35,2018-08-22 12:35:28,0,30,29.54,46,148,1003.41,  0.13,29
36,2018-08-22 12:35:33,0,30,29.55,46,147,1003.44,  0.13,29
37,2018-08-22 12:35:37,0,30,29.54,46,148,1003.44,  0.13,29
38,2018-08-22 12:35:41,0,30,29.54,46,149,1003.41,  0.13,29
39,2018-08-22 12:35:46,0,30,29.56,46,149,1003.38,  0.13,29
40,2018-08-22 12:35:50,0,30,29.55,46,150,1003.41,  0.13,29
41,2018-08-22 12:35:54,0,30,29.57,46,151,1003.42,  0.13,29
42,2018-08-22 12:35:59,0,30,29.58,46,126,1003.44,  0.13,29
