metadata:2018-05-15 08:44:56
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-05-15 08:44:57,0,22,22.95,63,257,1002.98,0
1,2018-05-15 08:45:01,0,22,22.97,65,260,1003.01,0
2,2018-05-15 08:45:05,0,22,22.96,65,256,1003.01,0
3,2018-05-15 08:45:10,0.1835,22,22.98,65,252,1002.93,0
4,2018-05-15 08:45:14,0.2491,22,22.99,65,249,1003.01,0
5,2018-05-15 08:45:18,0.2746,23,22.98,64,248,1003.01,0
6,2018-05-15 08:45:23,0.3027,23,22.99,64,247,1002.99,0
7,2018-05-15 08:45:27,0.3121,23,22.99,64,247,1002.87,0
8,2018-05-15 08:45:31,0.3214,23,23.00,64,248,1002.90,0
9,2018-05-15 08:45:37,0.3281,23,23.00,64,249,1002.99,0
10,2018-05-15 08:45:41,0.3308,23,23.01,64,249,1002.99,0
11,2018-05-15 08:45:45,0.3335,23,23.00,64,250,1003.02,0
12,2018-05-15 08:45:50,0.3348,23,23.00,64,254,1003.04,0
13,2018-05-15 08:45:54,0.3348,23,23.01,64,255,1002.96,0
14,2018-05-15 08:45:58,0.3348,23,23.01,64,256,1002.99,0
15,2018-05-15 08:46:03,0.3348,23,23.02,63,254,1003.04,0
16,2018-05-15 08:46:07,0.3348,23,23.02,63,254,1003.05,0
17,2018-05-15 08:46:11,0.3348,23,23.02,63,253,1003.10,0
18,2018-05-15 08:46:17,0.3348,23,23.01,63,252,1002.99,0
19,2018-05-15 08:46:21,0.3375,23,23.01,63,252,1003.07,0
20,2018-05-15 08:46:25,0.3402,23,23.02,63,251,1003.02,0
21,2018-05-15 08:46:30,0.3402,23,23.03,63,251,1003.05,0
22,2018-05-15 08:46:34,0.3402,23,23.01,63,251,1002.99,0
23,2018-05-15 08:46:38,0.3402,23,23.02,63,250,1003.02,0
24,2018-05-15 08:46:44,0.3429,23,23.03,63,249,1003.02,0
25,2018-05-15 08:46:48,0.3455,23,23.02,63,248,1003.04,0
26,2018-05-15 08:46:52,0.3482,23,23.02,63,246,1003.04,0
27,2018-05-15 08:46:57,0.3482,23,23.01,63,245,1002.93,0
28,2018-05-15 08:47:01,0.3482,23,23.01,63,244,1003.04,0
29,2018-05-15 08:47:05,0.3509,23,23.01,63,242,1003.04,0
30,2018-05-15 08:47:10,0.3522,23,23.01,63,239,1003.07,0
31,2018-05-15 08:47:14,0.3536,23,23.00,63,236,1002.99,0
32,2018-05-15 08:47:18,0.3576,23,23.01,63,233,1003.07,0
33,2018-05-15 08:47:24,0.3576,23,23.01,63,229,1002.99,0
34,2018-05-15 08:47:28,0.3576,23,23.00,63,226,1003.02,0
35,2018-05-15 08:47:32,0.3576,23,23.01,63,223,1003.07,0
36,2018-05-15 08:47:37,0.3589,23,23.00,62,218,1002.99,0
37,2018-05-15 08:47:41,0.3616,23,23.00,62,213,1003.01,0
38,2018-05-15 08:47:45,0.3616,23,22.99,63,204,1003.01,0
39,2018-05-15 08:47:51,0.3630,23,23.00,63,198,1003.07,0
40,2018-05-15 08:47:55,0.3656,23,23.00,63,198,1002.99,0
41,2018-05-15 08:47:59,0.3656,23,23.00,63,200,1003.01,0
42,2018-05-15 08:48:04,0.3656,23,23.00,63,204,1002.99,0
43,2018-05-15 08:48:08,0.3656,23,22.98,63,205,1003.04,0
44,2018-05-15 08:48:12,0.3656,23,22.98,63,205,1003.01,0
45,2018-05-15 08:48:17,0.3656,23,22.98,63,205,1003.01,0
46,2018-05-15 08:48:21,0.3656,23,22.99,63,206,1002.99,0
47,2018-05-15 08:48:25,0.3656,23,22.99,63,208,1003.04,0
48,2018-05-15 08:48:31,0.3670,23,22.98,63,213,1002.98,0
49,2018-05-15 08:48:35,0.3696,23,22.98,63,216,1003.04,0
50,2018-05-15 08:48:39,0.3696,23,22.98,63,220,1003.01,0
51,2018-05-15 08:48:44,0.3696,23,22.98,63,225,1002.98,0
52,2018-05-15 08:48:48,0.3656,23,22.98,63,228,1002.99,0
53,2018-05-15 08:48:52,0.3656,23,22.98,63,229,1002.98,0
54,2018-05-15 08:48:58,0.3656,23,22.98,63,229,1002.93,0
