metadata:2018-05-15 19:35:58
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-05-15 19:35:58,0,19,19.61,77,37,1000.37,0
1,2018-05-15 19:36:02,0,19,19.60,77,37,1000.31,0
2,2018-05-15 19:36:06,0,19,19.62,77,36,1000.37,0
3,2018-05-15 19:36:12,0,19,19.63,77,37,1000.40,0
4,2018-05-15 19:36:16,0,19,19.64,77,37,1000.37,0
5,2018-05-15 19:36:20,0,19,19.64,77,37,1000.37,0
6,2018-05-15 19:36:25,0,19,19.66,77,37,1000.34,0
7,2018-05-15 19:36:29,0,19,19.66,77,35,1000.29,0
8,2018-05-15 19:36:33,0,19,19.66,77,37,1000.37,0
9,2018-05-15 19:36:39,0,19,19.65,77,37,1000.32,0
10,2018-05-15 19:36:43,0,19,19.67,77,37,1000.35,0
11,2018-05-15 19:36:47,0,19,19.67,77,36,1000.32,0
12,2018-05-15 19:36:52,0,19,19.68,77,38,1000.38,0
13,2018-05-15 19:36:56,0,19,19.69,77,38,1000.35,0
14,2018-05-15 19:37:00,0,19,19.70,77,38,1000.35,0
15,2018-05-15 19:37:05,0,19,19.70,77,38,1000.32,0
16,2018-05-15 19:37:09,0,19,19.71,77,38,1000.41,0
17,2018-05-15 19:37:13,0,19,19.71,77,37,1000.35,0
18,2018-05-15 19:37:19,0,19,19.73,77,38,1000.30,0
19,2018-05-15 19:37:23,0,19,19.75,77,37,1000.30,0
20,2018-05-15 19:37:27,0,19,19.76,77,37,1000.38,0
21,2018-05-15 19:37:32,0,19,19.77,77,38,1000.35,0
22,2018-05-15 19:37:36,0,19,19.78,77,38,1000.30,0
23,2018-05-15 19:37:40,0,19,19.80,77,38,1000.38,0
24,2018-05-15 19:37:45,0,19,19.80,77,37,1000.30,0
25,2018-05-15 19:37:49,0,19,19.81,77,37,1000.30,0
26,2018-05-15 19:37:53,0,19,19.83,77,38,1000.36,0
27,2018-05-15 19:37:59,0,19,19.83,77,38,1000.33,0
28,2018-05-15 19:38:03,0,19,19.85,77,38,1000.36,0
29,2018-05-15 19:38:07,0,20,19.86,77,37,1000.33,0
30,2018-05-15 19:38:12,0,20,19.87,77,38,1000.36,0
31,2018-05-15 19:38:16,0,20,19.88,77,38,1000.34,0
32,2018-05-15 19:38:20,0,20,19.89,77,0,1000.34,0
33,2018-05-15 19:38:26,0,20,19.91,76,0,1000.34,0
34,2018-05-15 19:38:30,0,20,19.92,76,0,1000.31,0
35,2018-05-15 19:38:34,0,20,19.93,76,0,1000.34,0
36,2018-05-15 19:38:39,0,20,19.94,76,0,1000.40,0
37,2018-05-15 19:38:43,0,20,19.96,76,0,1000.31,0
38,2018-05-15 19:38:47,0,20,19.97,76,0,1000.34,0
39,2018-05-15 19:38:52,0,20,19.97,76,0,1000.32,0
40,2018-05-15 19:38:56,0,20,19.99,76,0,1000.35,0
41,2018-05-15 19:39:00,0,20,20.00,76,0,1000.37,0
42,2018-05-15 19:39:06,0,20,20.01,76,0,1000.29,0
43,2018-05-15 19:39:10,0,20,20.02,76,0,1000.32,0
44,2018-05-15 19:39:14,0,20,20.04,76,0,1000.41,0
45,2018-05-15 19:39:19,0,20,20.06,76,0,1000.41,0
46,2018-05-15 19:39:23,0,20,20.07,76,0,1000.41,0
47,2018-05-15 19:39:27,0,20,20.07,76,0,1000.41,0
48,2018-05-15 19:39:32,0,20,20.09,76,0,1000.36,0
49,2018-05-15 19:39:36,0,20,20.10,76,0,1000.36,0
50,2018-05-15 19:39:40,0,20,20.11,76,0,1000.41,0
51,2018-05-15 19:39:46,0,20,20.13,76,0,1000.39,0
52,2018-05-15 19:39:50,0,20,20.14,76,0,1000.41,0
53,2018-05-15 19:39:54,0,20,20.14,76,0,1000.44,0
54,2018-05-15 19:39:59,0,20,20.16,76,0,1000.39,0
55,2018-05-15 19:40:03,0,20,20.16,76,0,1000.33,0
56,2018-05-15 19:40:07,0,20,20.18,76,0,1000.42,0
57,2018-05-15 19:40:13,0,20,20.19,76,0,1000.36,0
58,2018-05-15 19:40:17,0,20,20.20,76,0,1000.36,0
59,2018-05-15 19:40:21,0,20,20.21,76,0,1000.39,0
60,2018-05-15 19:40:26,0,20,20.22,75,0,1000.37,0
61,2018-05-15 19:40:30,0,20,20.23,75,0,1000.40,0
62,2018-05-15 19:40:34,0,20,20.24,75,0,1000.37,0
63,2018-05-15 19:40:39,0,20,20.24,75,0,1000.42,0
64,2018-05-15 19:40:43,0,20,20.26,75,0,1000.37,0
65,2018-05-15 19:40:47,0,20,20.26,75,0,1000.34,0
66,2018-05-15 19:40:53,0,20,20.28,75,0,1000.34,0
67,2018-05-15 19:40:57,0,20,20.27,75,0,1000.32,0
68,2018-05-15 19:41:01,0,20,20.30,75,0,1000.32,0
69,2018-05-15 19:41:06,0,20,20.31,75,0,1000.40,0
70,2018-05-15 19:41:10,0,20,20.31,75,0,1000.43,0
71,2018-05-15 19:41:14,0,20,20.32,75,0,1000.37,0
72,2018-05-15 19:41:19,0,20,20.33,75,0,1000.43,0
73,2018-05-15 19:41:23,0,20,20.34,75,0,1000.32,0
74,2018-05-15 19:41:28,0,20,20.35,75,0,1000.35,0
75,2018-05-15 19:41:33,0,20,20.37,75,0,1000.38,0
76,2018-05-15 19:41:37,0,20,20.38,75,0,1000.44,0
77,2018-05-15 19:41:41,0,20,20.38,75,0,1000.32,0
78,2018-05-15 19:41:46,0,20,20.40,75,0,1000.38,0
79,2018-05-15 19:41:50,0,20,20.41,75,0,1000.35,0
80,2018-05-15 19:41:54,0,20,20.41,75,0,1000.38,0
81,2018-05-15 19:42:00,0,20,20.42,75,0,1000.36,0
82,2018-05-15 19:42:04,0,20,20.43,75,0,1000.30,0
83,2018-05-15 19:42:08,0,20,20.44,75,0,1000.33,0
84,2018-05-15 19:42:13,0,20,20.45,75,0,1000.27,0
85,2018-05-15 19:42:17,0,20,20.45,75,0,1000.27,0
86,2018-05-15 19:42:21,0,20,20.47,74,0,1000.30,0
87,2018-05-15 19:42:26,0,20,20.48,74,0,1000.28,0
88,2018-05-15 19:42:30,0,20,20.48,74,0,1000.33,0
89,2018-05-15 19:42:34,0,20,20.50,74,0,1000.33,0
90,2018-05-15 19:42:40,0,20,20.50,74,0,1000.28,0
91,2018-05-15 19:42:44,0,20,20.51,74,0,1000.28,0
92,2018-05-15 19:42:48,0,20,20.52,74,0,1000.33,0
93,2018-05-15 19:42:53,0,20,20.53,74,0,1000.31,0
94,2018-05-15 19:42:57,0,20,20.52,74,0,1000.28,0
95,2018-05-15 19:43:01,0,20,20.54,74,0,1000.37,0
96,2018-05-15 19:43:07,0,20,20.55,74,0,1000.31,0
97,2018-05-15 19:43:11,0,20,20.56,74,0,1000.34,0
98,2018-05-15 19:43:15,0,20,20.57,74,0,1000.31,0
99,2018-05-15 19:43:20,0,20,20.58,74,0,1000.34,0
100,2018-05-15 19:43:24,0,20,20.58,74,0,1000.28,0
101,2018-05-15 19:43:28,0,20,20.59,74,0,1000.34,0
102,2018-05-15 19:43:33,0,20,20.60,74,0,1000.34,0
103,2018-05-15 19:43:37,0,20,20.61,74,0,1000.37,0
104,2018-05-15 19:43:41,0,20,20.61,74,0,1000.32,0
105,2018-05-15 19:43:47,0,20,20.61,74,0,1000.34,0
106,2018-05-15 19:43:51,0,20,20.63,74,0,1000.35,0
107,2018-05-15 19:43:55,0,20,20.63,74,0,1000.32,0
108,2018-05-15 19:44:00,0,20,20.64,74,0,1000.38,0
109,2018-05-15 19:44:04,0,20,20.65,74,0,1000.35,0
110,2018-05-15 19:44:08,0,20,20.65,74,0,1000.35,0
111,2018-05-15 19:44:13,0,20,20.66,74,0,1000.29,0
112,2018-05-15 19:44:17,0,20,20.67,73,0,1000.35,0
113,2018-05-15 19:44:21,0,20,20.67,73,0,1000.32,0
114,2018-05-15 19:44:27,0,20,20.68,73,0,1000.35,0
