metadata:2018-08-02 08:39:34
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-08-02 08:39:34,0,34,33.34,63,126,1001.89,0,33
1,2018-08-02 08:39:38,0,34,33.38,63,125,1002.00,0,33
2,2018-08-02 08:39:42,0,34,33.39,63,124,1001.98,0,33
3,2018-08-02 08:39:47,0,34,33.39,62,128,1001.94,0,33
4,2018-08-02 08:39:51,0,34,33.40,62,128,1002.07,0,33
5,2018-08-02 08:39:55,0,34,33.40,61,128,1002.07,0,34
6,2018-08-02 08:40:00,0,34,33.40,61,127,1002.04,0,34
7,2018-08-02 08:40:04,0,34,33.41,61,124,1002.04,0,33
8,2018-08-02 08:40:08,0,34,33.41,61,125,1002.04,0,33
9,2018-08-02 08:40:13,0,34,33.42,61,123,1002.04,0,33
10,2018-08-02 08:40:17,0,34,33.42,60,129,1002.04,0,33
11,2018-08-02 08:40:21,0,34,33.43,60,129,1002.00,0,33
12,2018-08-02 08:40:26,0,34,33.44,60,123,1002.07,0,33
13,2018-08-02 08:40:30,0,34,33.46,60,124,1002.01,0,33
14,2018-08-02 08:40:34,0,34,33.45,60,124,1002.04,0,34
15,2018-08-02 08:40:39,0,34,33.46,60,126,1002.01,0,34
16,2018-08-02 08:40:43,0,34,33.48,60,125,1002.01,0,34
17,2018-08-02 08:40:47,0,34,33.48,60,126,1002.05,0,33
18,2018-08-02 08:40:52,0,34,33.50,60,127,1002.01,0,34
19,2018-08-02 08:40:56,0,34,33.51,60,128,1002.08,0,33
20,2018-08-02 08:41:00,0,34,33.52,60,126,1002.05,0,34
21,2018-08-02 08:41:05,0,34,33.55,60,124,1002.05,0,33
22,2018-08-02 08:41:09,0,34,33.56,60,125,1002.05,0,33
23,2018-08-02 08:41:13,0,34,33.56,60,124,1002.05,0,34
24,2018-08-02 08:41:18,0,34,33.59,60,129,1001.99,0,33
25,2018-08-02 08:41:22,0,34,33.59,60,129,1001.97,0,33
26,2018-08-02 08:41:26,0,34,33.60,60,129,1002.11,0,33
27,2018-08-02 08:41:31,0,34,33.61,59,129,1002.09,0,33
28,2018-08-02 08:41:35,0,34,33.62,59,129,1002.06,0,33
29,2018-08-02 08:41:39,0,34,33.64,59,129,1002.06,0,34
30,2018-08-02 08:41:44,0,34,33.65,59,129,1002.02,0,34
31,2018-08-02 08:41:48,0,34,33.67,59,129,1002.02,0,33
32,2018-08-02 08:41:52,0,34,33.68,59,129,1002.06,0,34
33,2018-08-02 08:41:57,0,34,33.69,59,129,1002.04,0,34
34,2018-08-02 08:42:01,0,34,33.71,59,130,1001.98,0,34
35,2018-08-02 08:42:05,0,34,33.72,59,130,1002.00,0,34
36,2018-08-02 08:42:10,0,34,33.73,59,130,1001.96,0,34
37,2018-08-02 08:42:14,0,34,33.74,59,130,1001.98,0,34
38,2018-08-02 08:42:18,0,34,33.74,59,130,1001.98,0,34
39,2018-08-02 08:42:23,0,34,33.76,59,130,1002.04,0,34
40,2018-08-02 08:42:27,0,34,33.78,59,130,1002.05,0,34
41,2018-08-02 08:42:31,0,34,33.79,59,130,1001.99,0,34
42,2018-08-02 08:42:37,0,34,33.81,59,130,1001.99,0,34
43,2018-08-02 08:42:40,0,34,33.82,59,130,1002.05,0,34
44,2018-08-02 08:42:44,0,34,33.82,59,130,1001.99,0,34
45,2018-08-02 08:42:50,0,34,33.83,58,130,1001.97,0,34
46,2018-08-02 08:42:53,0,34,33.85,59,130,1002.01,0,34
47,2018-08-02 08:42:57,0,34,33.86,59,130,1002.01,0,34
48,2018-08-02 08:43:03,0,34,33.87,58,130,1002.05,0,34
49,2018-08-02 08:43:06,0,34,33.88,58,130,1002.02,0,34
50,2018-08-02 08:43:10,0,34,33.88,58,125,1002.02,0,34
51,2018-08-02 08:43:16,0,34,33.91,58,124,1002.02,0,34
52,2018-08-02 08:43:20,0,34,33.90,58,125,1001.97,0,34
53,2018-08-02 08:43:23,0,34,33.92,58,126,1002.02,0,34
54,2018-08-02 08:43:29,0,34,33.93,58,123,1002.06,0,34
55,2018-08-02 08:43:33,0,34,33.94,58,125,1001.98,0,34
56,2018-08-02 08:43:36,0,34,33.95,58,125,1001.94,0,34
57,2018-08-02 08:43:42,0,34,33.96,58,126,1002.06,0,34
58,2018-08-02 08:43:46,0,34,33.97,58,125,1002.00,0,34
59,2018-08-02 08:43:49,0,34,33.98,58,124,1002.04,0,34
60,2018-08-02 08:43:55,0,35,33.99,58,126,1001.98,0,34
