metadata:2018-05-15 08:49:49
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-05-15 08:49:49,0,22,23.00,63,305,1003.07,0
1,2018-05-15 08:49:53,0,22,23.02,65,305,1003.02,0
2,2018-05-15 08:49:57,0.0040,22,23.04,65,302,1003.05,0
3,2018-05-15 08:50:03,0.1634,23,23.05,64,300,1002.96,0
4,2018-05-15 08:50:07,0.3000,23,23.06,64,300,1003.08,0
5,2018-05-15 08:50:11,0.3402,23,23.07,64,300,1003.02,0
6,2018-05-15 08:50:16,0.3830,23,23.07,64,298,1002.97,0
7,2018-05-15 08:50:20,0.4045,23,23.08,63,297,1003.11,0
8,2018-05-15 08:50:24,0.4179,23,23.08,63,297,1003.08,0
9,2018-05-15 08:50:29,0.4313,23,23.09,63,298,1003.05,0
10,2018-05-15 08:50:33,0.4380,23,23.09,63,300,1003.05,0
11,2018-05-15 08:50:37,0.4433,23,23.09,63,300,1003.00,0
12,2018-05-15 08:50:43,0.4473,23,23.11,63,301,1003.05,0
13,2018-05-15 08:50:47,0.4500,23,23.11,63,300,1003.11,0
14,2018-05-15 08:50:51,0.4527,23,23.11,63,302,1003.11,0
15,2018-05-15 08:50:56,0.4527,23,23.11,63,305,1003.05,0
16,2018-05-15 08:51:00,0.4554,23,23.12,63,307,1003.03,0
17,2018-05-15 08:51:04,0.4580,23,23.12,63,310,1003.03,0
18,2018-05-15 08:51:09,0.4580,23,23.12,63,312,1002.94,0
19,2018-05-15 08:51:13,0.4594,23,23.13,63,315,1003.06,0
20,2018-05-15 08:51:17,0.4621,23,23.13,63,320,1003.00,0
21,2018-05-15 08:51:23,0.4621,23,23.13,63,323,1003.00,0
22,2018-05-15 08:51:27,0.4621,23,23.13,63,323,1003.03,0
23,2018-05-15 08:51:31,0.4621,23,23.14,63,323,1003.06,0
24,2018-05-15 08:51:36,0.4621,23,23.14,63,322,1003.06,0
25,2018-05-15 08:51:40,0.4621,23,23.15,63,321,1003.06,0
26,2018-05-15 08:51:44,0.4621,23,23.15,63,320,1002.97,0
27,2018-05-15 08:51:50,0.4647,23,23.14,63,320,1003.00,0
28,2018-05-15 08:51:54,0.4661,23,23.15,63,320,1003.03,0
29,2018-05-15 08:51:58,0.4661,23,23.14,63,320,1002.97,0
30,2018-05-15 08:52:03,0.4674,23,23.15,63,320,1003.03,0
31,2018-05-15 08:52:07,0.4701,23,23.15,63,321,1002.95,0
32,2018-05-15 08:52:11,0.4701,23,23.15,63,323,1002.95,0
33,2018-05-15 08:52:16,0.4701,23,23.15,63,324,1003.03,0
34,2018-05-15 08:52:20,0.4701,23,23.16,63,325,1002.89,0
35,2018-05-15 08:52:24,0.4701,23,23.16,63,325,1002.92,0
36,2018-05-15 08:52:30,0.4701,23,23.16,63,327,1002.97,0
37,2018-05-15 08:52:34,0.4701,23,23.16,63,328,1002.89,0
38,2018-05-15 08:52:38,0.4701,23,23.16,63,330,1002.95,0
39,2018-05-15 08:52:43,0.4688,23,23.16,63,331,1002.95,0
40,2018-05-15 08:52:47,0.4661,23,23.16,63,333,1002.89,0
41,2018-05-15 08:52:51,0.4621,23,23.16,63,333,1002.95,0
