metadata:2018-05-15 08:39:20
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-05-15 08:39:21,0,22,22.85,62,45,1003.00,0
1,2018-05-15 08:39:25,0,22,22.86,64,53,1003.06,0
2,2018-05-15 08:39:29,0,22,22.86,64,54,1003.03,0
3,2018-05-15 08:39:34,0.1688,22,22.87,64,54,1003.03,0
4,2018-05-15 08:39:38,0.2759,22,22.87,64,54,1003.09,0
5,2018-05-15 08:39:42,0.3013,22,22.87,63,54,1003.03,0
6,2018-05-15 08:39:47,0.3254,22,22.86,63,54,1002.95,0
7,2018-05-15 08:39:51,0.3335,22,22.87,63,54,1003.06,0
8,2018-05-15 08:39:55,0.3375,22,22.87,63,54,1003.12,0
9,2018-05-15 08:40:01,0.3402,22,22.86,63,54,1003.03,0
10,2018-05-15 08:40:05,0.3375,22,22.87,63,54,1003.06,0
11,2018-05-15 08:40:09,0.3348,22,22.87,62,54,1003.06,0
12,2018-05-15 08:40:14,0.3308,22,22.86,62,54,1002.98,0
13,2018-05-15 08:40:18,0.3281,22,22.86,62,54,1002.98,0
14,2018-05-15 08:40:22,0.3254,22,22.87,62,54,1003.06,0
15,2018-05-15 08:40:27,0.3228,22,22.86,62,54,1003.03,0
16,2018-05-15 08:40:31,0.3201,22,22.86,62,54,1003.06,0
17,2018-05-15 08:40:35,0.3147,22,22.87,62,54,1003.03,0
18,2018-05-15 08:40:41,0.3107,22,22.87,62,54,1003.09,0
19,2018-05-15 08:40:45,0.3080,22,22.87,62,54,1003.00,0
20,2018-05-15 08:40:49,0.3054,22,22.86,62,54,1003.00,0
21,2018-05-15 08:40:54,0.3054,22,22.87,62,54,1003.06,0
22,2018-05-15 08:40:58,0.3054,22,22.87,62,54,1002.95,0
23,2018-05-15 08:41:02,0.3027,22,22.87,62,55,1003.00,0
24,2018-05-15 08:41:08,0.2973,22,22.88,62,55,1003.06,0
25,2018-05-15 08:41:12,0.2946,22,22.88,62,55,1003.06,0
26,2018-05-15 08:41:16,0.2933,22,22.88,62,56,1003.01,0
27,2018-05-15 08:41:21,0.2920,22,22.88,62,56,1003.03,0
28,2018-05-15 08:41:25,0.2920,22,22.88,62,57,1002.98,0
29,2018-05-15 08:41:29,0.2920,22,22.89,62,57,1003.03,0
30,2018-05-15 08:41:34,0.2893,22,22.88,62,58,1003.03,0
31,2018-05-15 08:41:38,0.2866,22,22.89,61,53,1002.98,0
32,2018-05-15 08:41:42,0.2866,22,22.89,62,53,1003.03,0
33,2018-05-15 08:41:48,0.2866,22,22.90,62,54,1003.01,0
34,2018-05-15 08:41:52,0.2866,22,22.89,62,54,1002.98,0
35,2018-05-15 08:41:56,0.2866,22,22.90,62,54,1002.98,0
36,2018-05-15 08:42:01,0.2866,22,22.90,62,57,1003.09,0
37,2018-05-15 08:42:05,0.2866,22,22.90,62,58,1002.98,0
38,2018-05-15 08:42:09,0.2866,22,22.90,62,58,1003.01,0
39,2018-05-15 08:42:15,0.2866,22,22.90,62,59,1002.98,0
40,2018-05-15 08:42:19,0.2853,22,22.91,62,59,1002.98,0
41,2018-05-15 08:42:23,0.2839,22,22.91,62,59,1003.01,0
42,2018-05-15 08:42:28,0.2813,23,22.91,62,59,1003.01,0
43,2018-05-15 08:42:32,0.2786,22,22.92,62,59,1003.01,0
44,2018-05-15 08:42:36,0.2786,23,22.91,62,59,1003.01,0
45,2018-05-15 08:42:41,0.2759,22,22.93,62,59,1003.07,0
46,2018-05-15 08:42:45,0.2732,22,22.92,62,59,1003.04,0
47,2018-05-15 08:42:49,0.2705,22,22.93,62,59,1003.01,0
48,2018-05-15 08:42:55,0.2692,23,22.94,62,59,1002.98,0
49,2018-05-15 08:42:59,0.2692,22,22.93,61,59,1003.01,0
50,2018-05-15 08:43:03,0.2679,22,22.93,62,59,1003.07,0
51,2018-05-15 08:43:08,0.2652,22,22.95,62,60,1003.01,0
52,2018-05-15 08:43:12,0.2652,23,22.94,62,64,1003.01,0
53,2018-05-15 08:43:16,0.2652,22,22.95,62,65,1003.01,0
54,2018-05-15 08:43:22,0.2652,22,22.94,62,65,1003.01,0
55,2018-05-15 08:43:26,0.2652,23,22.95,62,65,1002.95,0
56,2018-05-15 08:43:30,0.2652,22,22.95,61,65,1002.98,0
57,2018-05-15 08:43:35,0.2652,22,22.94,62,65,1003.04,0
58,2018-05-15 08:43:39,0.2652,23,22.94,62,66,1003.10,0
59,2018-05-15 08:43:43,0.2652,22,22.96,62,66,1002.98,0
60,2018-05-15 08:43:48,0.2679,22,22.96,62,67,1002.98,0
61,2018-05-15 08:43:52,0.2692,23,22.95,61,67,1003.01,0
62,2018-05-15 08:43:56,0.2692,22,22.96,61,68,1002.95,0
63,2018-05-15 08:44:02,0.2692,22,22.96,62,69,1003.04,0
64,2018-05-15 08:44:06,0.2692,23,22.97,62,69,1002.98,0
65,2018-05-15 08:44:10,0.2665,23,22.97,61,63,1003.04,0
66,2018-05-15 08:44:15,0.2652,23,22.97,61,64,1002.96,0
67,2018-05-15 08:44:19,0.2652,23,22.96,61,64,1003.01,0
